"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 15:03:39 GMT 2023","Mon Oct 30 15:03:40 GMT 2023","987","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuidTwoSpacies","getOkvedGuidTwoSpacies","Негативный тест Получение Okved по Гуид, пробелы в начале и в конце"
"passed","Mon Oct 30 15:04:04 GMT 2023","Mon Oct 30 15:04:05 GMT 2023","1012","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedSpaciesIn","getOkvedSpaciesIn","Негативный тест Получение Okved по Гуид, пробелы в середине строки"
"passed","Mon Oct 30 15:03:52 GMT 2023","Mon Oct 30 15:03:53 GMT 2023","982","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepInjection","getOkvedListStepInjection","Негативный тест Получение массива OKVED, поле Step Инъекция"
"passed","Mon Oct 30 15:06:32 GMT 2023","Mon Oct 30 15:06:33 GMT 2023","1181","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStepIsEmpty","getUnitsListStepIsEmpty","Получение массива всех Единиц измерения, поле Step пустое"
"passed","Mon Oct 30 15:03:51 GMT 2023","Mon Oct 30 15:03:52 GMT 2023","985","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepEqual6","getOkvedListStepEqual6","Получение массива OKVED из 6 объектов"
"passed","Mon Oct 30 15:05:58 GMT 2023","Mon Oct 30 15:05:59 GMT 2023","1129","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierListStepEqual6","getUnifiedClassifierListStepEqual6","Получение массива Единый классификатор из 6 объектов"
"passed","Mon Oct 30 15:05:53 GMT 2023","Mon Oct 30 15:05:54 GMT 2023","1684","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierListStepEqual100","getUnifiedClassifierListStepEqual100","Получение массива Единый классификатор из 100 объектов"
"failed","Mon Oct 30 15:06:48 GMT 2023","Mon Oct 30 15:06:49 GMT 2023","1005","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapType0_2_AbsentFields","postNomenclatureChangeRequestMapType0_2_AbsentFields","Создаем заявку Запрос и изменение с отсутствующим полем Тип = 0, 2"
"passed","Mon Oct 30 15:05:25 GMT 2023","Mon Oct 30 15:05:26 GMT 2023","1688","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListStepIsEmpty","getEopListStepIsEmpty","Получение массива всех категорий Единый ограничительный перечень, поле Step пустое"
"passed","Mon Oct 30 15:03:12 GMT 2023","Mon Oct 30 15:03:13 GMT 2023","1525","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdListStepEqual100","getOkpdListStepEqual100","Получение массива ОКПД из 100 объектов"
"passed","Mon Oct 30 15:03:08 GMT 2023","Mon Oct 30 15:03:09 GMT 2023","697","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdListStep1024","getOkpdListStep1024","Негативный тест Получение массива ОКПД, поле Step 1024 символа"
"passed","Mon Oct 30 15:06:29 GMT 2023","Mon Oct 30 15:06:30 GMT 2023","833","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStepEqual5","getUnitsListStepEqual5","Получение массива Единиц измерения из 5 объектов"
"failed","Mon Oct 30 15:07:02 GMT 2023","Mon Oct 30 15:07:03 GMT 2023","997","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapType3","postNomenclatureChangeRequestMapType3","Создаем заявку на вывод из обращения  Тип = 3"
"passed","Mon Oct 30 15:03:30 GMT 2023","Mon Oct 30 15:03:31 GMT 2023","1006","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuid","getOkvedGuid","Получение Okved по Гуид, валидация при помощи схемы Json"
"passed","Mon Oct 30 15:06:11 GMT 2023","Mon Oct 30 15:06:12 GMT 2023","1002","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsGuid","getUnitsGuid","Получение единиц измерения по Гуид"
"passed","Mon Oct 30 15:06:38 GMT 2023","Mon Oct 30 15:06:39 GMT 2023","991","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStepSpecialSymbol","getUnitsListStepSpecialSymbol","Негативный тест Получение массива всех Единиц измерения, поле Step строка Спецсимволы"
"failed","Mon Oct 30 15:06:50 GMT 2023","Mon Oct 30 15:06:51 GMT 2023","1013","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapType0_2_RequiredExtraFields","postNomenclatureChangeRequestMapType0_2_RequiredExtraFields","Создаем заявку Запрос и изменение с дополнительным  полем Тип = 0, 2"
"passed","Mon Oct 30 15:02:09 GMT 2023","Mon Oct 30 15:02:10 GMT 2023","936","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchDataProvider","getNomenclatureSearchDataProvider","Поиск номенклатуры, type"
"passed","Mon Oct 30 15:03:33 GMT 2023","Mon Oct 30 15:03:33 GMT 2023","988","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuidInjection","getOkvedGuidInjection","Негативный тест Получение Okved по Гуид,Инъекция"
"passed","Mon Oct 30 15:01:45 GMT 2023","Mon Oct 30 15:01:46 GMT 2023","943","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Mon Oct 30 15:04:58 GMT 2023","Mon Oct 30 15:04:59 GMT 2023","996","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegative","getListOfChangesNegative","Невалидные значения Степ Проверка списка изменений"
"passed","Mon Oct 30 15:02:10 GMT 2023","Mon Oct 30 15:02:12 GMT 2023","2708","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchDataProvider","getNomenclatureSearchDataProvider","Поиск номенклатуры, type"
"passed","Mon Oct 30 15:05:14 GMT 2023","Mon Oct 30 15:05:15 GMT 2023","664","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListStep1024","getEopListStep1024","Негативный тест Получение массива Единый ограничительный перечень, поле Step 1024 символа"
