"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Классификаторы","Единицы измерения","","0","32","0","0","0"
"Контрагенты","Получение partnerConcernType","","0","32","0","0","0"
"Контрагенты","Получение Contact-roles","","0","32","0","0","0"
"Номенклатура","Поиск номенклатуры","","0","57","0","0","0"
"Общероссийские классификаторы","Получение ОКВЕД2","","0","32","0","0","0"
"Контрагенты","Получение Bank Account","","0","32","0","0","0"
"Общероссийские классификаторы","Получение ОКПД2","","0","32","0","0","0"
"Классификаторы","Единый Классификатор","","0","33","0","0","0"
"Общероссийские классификаторы","Получение Currency","","0","32","0","0","0"
"Контрагенты","Получение Contact","","0","32","0","0","0"
"Общероссийские классификаторы","Получение Region","","0","32","0","0","0"
"Номенклатура","Получение базовой услуги по Гуид","","0","12","0","0","0"
"Общероссийские классификаторы","Получение Bank","","0","32","0","0","0"
"","Вспомогательные","","0","46","0","0","0"
"Общероссийские классификаторы","Получение ОKOPF","","0","5","0","0","0"
"Контрагенты","Получение Bank Account Type","","0","18","0","0","0"
"Общероссийские классификаторы","Получение Country","","0","32","0","0","0"
"Контрагенты","Получение Partner","","0","32","0","0","0"
"Общероссийские классификаторы","Получение ОКOPF","","0","15","0","0","0"
"Общероссийские классификаторы","Получение ТНВЕД","","0","32","0","0","0"
"Классификаторы","Единый ограничительный перечень","","0","32","0","0","0"
"Номенклатура","Получение номенклатуры по Гуид","","0","12","0","0","0"
"Общероссийские классификаторы","Получение OKOPF","","0","12","0","0","0"
"Заявка","Работа с заявками","","0","13","0","0","0"
"Контрагенты","Получение Bank AccountType","","0","14","0","0","0"
