"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 05:55:06 GMT 2023","Wed Nov 01 05:55:07 GMT 2023","985","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListStepNegativeNumber","getEopListStepNegativeNumber","Негативный тест Получение массива Единый ограничительный перечень, поле Step отрицательное число"
"passed","Wed Nov 01 05:53:29 GMT 2023","Wed Nov 01 05:53:30 GMT 2023","1308","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepEqual5","getOkvedListStepEqual5","Получение списка OKVED из 5 объектов"
"passed","Wed Nov 01 05:53:43 GMT 2023","Wed Nov 01 05:53:44 GMT 2023","1037","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getTnvedGuid","getTnvedGuid","Получение ТНВЕД по Гуид, валидация при помощи схемы Json"
"passed","Wed Nov 01 05:53:56 GMT 2023","Wed Nov 01 05:53:56 GMT 2023","811","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getTnvedListStep1024","getTnvedListStep1024","Негативный тест Получение массива ТНВEД, поле Step 1024 символа"
"passed","Wed Nov 01 05:51:46 GMT 2023","Wed Nov 01 05:51:47 GMT 2023","998","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Wed Nov 01 05:56:12 GMT 2023","Wed Nov 01 05:56:13 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStepSpaces","getUnitsListStepSpaces","Негативный тест Получение массива всех Единиц измерения, поле Step 3 пробела"
"failed","Wed Nov 01 05:56:26 GMT 2023","Wed Nov 01 05:56:27 GMT 2023","998","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapType0_2_RequiredExtraFields","postNomenclatureChangeRequestMapType0_2_RequiredExtraFields","Создаем заявку Запрос и изменение с дополнительным  полем Тип = 0, 2"
"passed","Wed Nov 01 05:54:28 GMT 2023","Wed Nov 01 05:54:29 GMT 2023","998","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegative","getListOfChangesNegative","Невалидные значения Степ Проверка списка изменений"
"passed","Wed Nov 01 05:55:18 GMT 2023","Wed Nov 01 05:55:19 GMT 2023","992","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierGuidNegativeNumber","getUnifiedClassifierGuidNegativeNumber","Негативный тест Получение единого классификатора по Гуид, отрицательное число"
"passed","Wed Nov 01 05:51:42 GMT 2023","Wed Nov 01 05:51:43 GMT 2023","994","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Wed Nov 01 05:51:39 GMT 2023","Wed Nov 01 05:51:40 GMT 2023","1003","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Wed Nov 01 05:53:30 GMT 2023","Wed Nov 01 05:53:31 GMT 2023","995","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepEqual6","getOkvedListStepEqual6","Получение массива OKVED из 6 объектов"
"passed","Wed Nov 01 05:54:52 GMT 2023","Wed Nov 01 05:54:53 GMT 2023","989","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListStep1024","getEopListStep1024","Негативный тест Получение массива Единый ограничительный перечень, поле Step 1024 символа"
"passed","Wed Nov 01 05:52:10 GMT 2023","Wed Nov 01 05:52:11 GMT 2023","999","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchNegative","getNomenclatureSearchNegative","Негативные тесты"
"passed","Wed Nov 01 05:55:11 GMT 2023","Wed Nov 01 05:55:12 GMT 2023","996","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListStepZero","getEopListStepZero","Негативный тест Получение массива Единый ограничительный перечень, поле Step равен 0"
"passed","Wed Nov 01 05:55:20 GMT 2023","Wed Nov 01 05:55:21 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierGuidSelect","getUnifiedClassifierGuidSelect","Негативный тест Получение единого классификатора по Гуид, Select"
"passed","Wed Nov 01 05:51:44 GMT 2023","Wed Nov 01 05:51:45 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Wed Nov 01 05:54:59 GMT 2023","Wed Nov 01 05:55:00 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListStepEqual6","getEopListStepEqual6","Получение массива всех категорий Единый ограничительный перечень из 6 объектов"
"passed","Wed Nov 01 05:53:24 GMT 2023","Wed Nov 01 05:53:25 GMT 2023","1003","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepDigitLatin","getOkvedListStepDigitLatin","Негативный тест Получение массива OKVED, поле Step строка цифры+латинница"
"passed","Wed Nov 01 05:55:14 GMT 2023","Wed Nov 01 05:55:15 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierGuidCombination","getUnifiedClassifierGuidCombination","Негативный тест Получение единого классификатора по Гуид, комбинация латинница, спецсимволы, кириллица числа"
"passed","Wed Nov 01 05:52:53 GMT 2023","Wed Nov 01 05:52:54 GMT 2023","1005","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdListStepDoubleType","getOkpdListStepDoubleType","Негативный тест Получение массива ОКПД, Step Дробное число"
"passed","Wed Nov 01 05:54:33 GMT 2023","Wed Nov 01 05:54:34 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegative","getListOfChangesNegative","Невалидные значения Степ Проверка списка изменений"
"passed","Wed Nov 01 05:56:05 GMT 2023","Wed Nov 01 05:56:05 GMT 2023","876","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStepEqual5","getUnitsListStepEqual5","Получение массива Единиц измерения из 5 объектов"
"passed","Wed Nov 01 05:51:38 GMT 2023","Wed Nov 01 05:51:39 GMT 2023","989","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Wed Nov 01 05:53:15 GMT 2023","Wed Nov 01 05:53:16 GMT 2023","1001","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuidMaxPlus","getOkvedGuidMaxPlus","Негативный тест (Max+1) Получение Okved по Гуид"
"passed","Wed Nov 01 05:54:44 GMT 2023","Wed Nov 01 05:54:45 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopGuidMaxPlus","getEopGuidMaxPlus","Негативный тест (Max+1) Получение единого ограничительного перечня по Гуид"
"passed","Wed Nov 01 05:52:36 GMT 2023","Wed Nov 01 05:52:37 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Wed Nov 01 05:53:48 GMT 2023","Wed Nov 01 05:53:49 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getTnvedGuidMaxPlus","getTnvedGuidMaxPlus","Негативный тест (Max+1) Получение ТНВЕД по Гуид"
"failed","Wed Nov 01 05:54:20 GMT 2023","Wed Nov 01 05:54:21 GMT 2023","998","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChanges","getListOfChanges","Проверка списка изменений"
"failed","Wed Nov 01 05:56:47 GMT 2023","Wed Nov 01 05:56:48 GMT 2023","997","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMax","postNomenclatureChangeRequestMax","Создаем заявку c Максимальным значением в атрибутах Тип=0  2"
"passed","Wed Nov 01 05:53:28 GMT 2023","Wed Nov 01 05:53:29 GMT 2023","1287","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepEqual199","getOkvedListStepEqual199","Получение массива OKVED из 199 объектов"
"passed","Wed Nov 01 05:53:17 GMT 2023","Wed Nov 01 05:53:18 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuidNotExist","getOkvedGuidNotExist","Негативный тест Получение Okved по Гуид, несуществующий Гуид 36 символов"
"failed","Wed Nov 01 05:56:37 GMT 2023","Wed Nov 01 05:56:38 GMT 2023","988","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapType3","postNomenclatureChangeRequestMapType3","Создаем заявку на вывод из обращения  Тип = 3"
"passed","Wed Nov 01 05:56:32 GMT 2023","Wed Nov 01 05:56:33 GMT 2023","1032","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapType1NotExist","postNomenclatureChangeRequestMapType1NotExist","Создаем заявку Запрос и изменение с обязательними полями Тип = 1"
"passed","Wed Nov 01 05:55:59 GMT 2023","Wed Nov 01 05:55:59 GMT 2023","845","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStep1024","getUnitsListStep1024","Негативный тест Получение массива всех Единиц измерения, поле Step 1024 символа"
"passed","Wed Nov 01 05:52:33 GMT 2023","Wed Nov 01 05:52:34 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"failed","Wed Nov 01 05:56:22 GMT 2023","Wed Nov 01 05:56:23 GMT 2023","1011","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapRequired","postNomenclatureChangeRequestMapRequired","Создаем заявку запрос существующей записи в МДМ и изменение  Тип = 0, 2"
"passed","Wed Nov 01 05:54:13 GMT 2023","Wed Nov 01 05:54:14 GMT 2023","996","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getTnvedListStepSpaces","getTnvedListStepSpaces","Негативный тест Получение массива ТНВEД, поле Step 3 пробела"
"passed","Wed Nov 01 05:54:42 GMT 2023","Wed Nov 01 05:54:43 GMT 2023","991","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopGuidInjection","getEopGuidInjection","Негативный тест Получение единого оганичительного перечня по Гуид,Инъекция"
"passed","Wed Nov 01 05:54:45 GMT 2023","Wed Nov 01 05:54:46 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopGuidNegativeNumber","getEopGuidNegativeNumber","Негативный тест Получение единого единого оганичительного перечня по Гуид, отрицательное число"
"passed","Wed Nov 01 05:56:16 GMT 2023","Wed Nov 01 05:56:17 GMT 2023","1007","Surefire suite","Surefire test","Test.TestPostRequest","Test.TestPostRequest","postNomenclatureChangeRequestMapIsEmptyObject","postNomenclatureChangeRequestMapIsEmptyObject","Пустой объект"
