"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdGuidNotExist","getOkpdGuidNotExist","Негативный тест Получение ОКПД2 по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","3","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegativeDate","getListOfChangesNegativeDate","Невалидные значения Даты, Проверка списка изменений"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getPartnerListStepIsEmpty","getPartnerListStepIsEmpty","Получение массива Partner, поле Step пустое"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","2","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getPlanSchetovListStepMaxPlus","getPlanSchetovListStepMaxPlus","Негативный тест PlanSchetov"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactGuidNotExist","getContactGuidNotExist","Негативный тест, получение Contact по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","3","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierListNegativeData","getUnifiedClassifierListNegativeData","Негативный тест. Получение массива Единый классификатор"
"broken","Mon Feb 05 07:04:14 GMT 2024","Mon Feb 05 07:04:14 GMT 2024","4","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getOtherIncomeExpensesListStepMaxPlus","getOtherIncomeExpensesListStepMaxPlus","Негативный тест Получение массива other-income-expenses"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","1","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactMaxPlus","getContactMaxPlus","Негативный тест Получение массива Contact"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","3","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getPartnerConcernTypeListStepMaxPlus","getPartnerConcernTypeListStepMaxPlus","Негативный тест Получение массива partnerConcernType"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","2","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListNegativeStep","getEopListNegativeStep","Негативный тест Получение массива Единый ограничительный перечень"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchNegative","getNomenclatureSearchNegative","Негативные тесты"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.StructureTest","AutoTest.StructureTest","getSfoListStepMaxPlus","getSfoListStepMaxPlus","Негативный тест Получение массива Sfo"
"broken","Mon Feb 05 07:04:14 GMT 2024","Mon Feb 05 07:04:14 GMT 2024","3","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getExpensesArticlesGuidNotExist","getExpensesArticlesGuidNotExist","Негативный тест Получение expenses-articles по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","1","Surefire suite","Surefire test","AutoTest.StructureTest","AutoTest.StructureTest","getDivisionsListStepMaxPlus","getDivisionsListStepMaxPlus","Негативный тест Получение массива Divisions"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","2","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListNegativeStep","getUnitsListNegativeStep","Негативный тест Получение массива всех Единиц измерения"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","3","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegative","getListOfChangesNegative","Невалидные значения Степ Проверка списка изменений"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","3","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getPlanSchetovGuidNotExist","getPlanSchetovGuidNotExist","Негативный тест Получение PlanSchetov по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:14 GMT 2024","Mon Feb 05 07:04:14 GMT 2024","4","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getOtherIncomeExpensesListStepMaxPlus","getOtherIncomeExpensesListStepMaxPlus","Негативный тест Получение массива other-income-expenses"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getPartnerList","getPartnerList","Получение списка Partner"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactRolesMaxPlus","getContactRolesMaxPlus","Негативный тест, получение массива Contact-roles"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","3","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfGuidNotExist","getOkopfGuidNotExist","Негативный тест Получение OKOPF по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","3","Surefire suite","Surefire test","AutoTest.StructureTest","AutoTest.StructureTest","getОrganizationSearchEmptyParametr","getОrganizationSearchEmptyParametr","Поиск контрагента пустые поля"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","3","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListStepEqual199","getUnitsListStepEqual199","Получение массива всех категорий Единый ограничительный перечень из 199 объектов"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchDataProviderServiceIsAbsent","getNomenclatureSearchDataProviderServiceIsAbsent","Поиск номенклатуры, без параметра service"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactRolesMaxPlus","getContactRolesMaxPlus","Негативный тест, получение массива Contact-roles"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfListStepMaxPlus","getOkopfListStepMaxPlus","Негативный тест Получение массива OKOPF"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","3","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnifiedClassifierListNegativeData","getUnifiedClassifierListNegativeData","Негативный тест. Получение массива Единый классификатор"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","3","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfList","getOkopfList","Получение списка OKOPF"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","2","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getPlanSchetovListStepMaxPlus","getPlanSchetovListStepMaxPlus","Негативный тест PlanSchetov"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegativeDate","getListOfChangesNegativeDate","Невалидные значения Даты, Проверка списка изменений"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","3","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getSubcontoListStepMaxPlus","getSubcontoListStepMaxPlus","Негативный тест Subconto"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchBodyIsEmpty","getNomenclatureSearchBodyIsEmpty","Поиск номенклатуры, получение пустого тела, неверный параметр запроса {data}"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchNegative","getNomenclatureSearchNegative","Негативные тесты"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getPartnerGuidNotExist","getPartnerGuidNotExist","Негативный тест Получение Partner по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:14 GMT 2024","Mon Feb 05 07:04:14 GMT 2024","5","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getDdsVidGuidNotExist","getDdsVidGuidNotExist","Негативный тест Получение dds-vid по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:17 GMT 2024","Mon Feb 05 07:04:17 GMT 2024","2","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getRegionGuidNotExist","getRegionGuidNotExist","Негативный тест Получение Region по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:15 GMT 2024","Mon Feb 05 07:04:15 GMT 2024","2","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactGuidNotExist","getContactGuidNotExist","Негативный тест, получение Contact по Гуид, несуществующий Гуид"
"broken","Mon Feb 05 07:04:16 GMT 2024","Mon Feb 05 07:04:16 GMT 2024","2","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedList","getOkvedList","Получение списка OKVED2"
