"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 13:35:54 GMT 2023","Wed Nov 22 13:35:55 GMT 2023","1001","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getBasicServicesGuidDataProvider","getBasicServicesGuidDataProvider","Получение базовой услуги по Гуид, негативные тесты"
"failed","Wed Nov 22 13:39:09 GMT 2023","Wed Nov 22 13:39:10 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfList","getOkopfList","Получение списка OKOPF"
"passed","Wed Nov 22 13:40:15 GMT 2023","Wed Nov 22 13:40:16 GMT 2023","1001","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuidNotExist","getOkvedGuidNotExist","Негативный тест Получение Okved по Гуид, несуществующий Гуид"
"failed","Wed Nov 22 13:39:02 GMT 2023","Wed Nov 22 13:39:03 GMT 2023","1002","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfGuidNotExist","getOkopfGuidNotExist","Негативный тест Получение OKOPF по Гуид, несуществующий Гуид"
"failed","Wed Nov 22 13:39:20 GMT 2023","Wed Nov 22 13:39:21 GMT 2023","1001","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfListStepMaxPlus","getOkopfListStepMaxPlus","Негативный тест Получение массива OKOPF"
"failed","Wed Nov 22 13:38:50 GMT 2023","Wed Nov 22 13:38:51 GMT 2023","995","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getCurrencyListStepMaxPlus","getCurrencyListStepMaxPlus","Негативный тест Получение массива Currency"
"failed","Wed Nov 22 13:38:53 GMT 2023","Wed Nov 22 13:38:54 GMT 2023","1001","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getCurrencyListStepMaxPlus","getCurrencyListStepMaxPlus","Негативный тест Получение массива Currency"
"passed","Wed Nov 22 13:40:04 GMT 2023","Wed Nov 22 13:40:05 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdListStepMaxPlus","getOkpdListStepMaxPlus","Негативный тест Получение массива ОКПД"
"passed","Wed Nov 22 13:44:23 GMT 2023","Wed Nov 22 13:44:24 GMT 2023","1023","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesDateIsEmpty","getListOfChangesDateIsEmpty","Проверка списка изменений"
"failed","Wed Nov 22 13:40:42 GMT 2023","Wed Nov 22 13:40:43 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getRegionGuidNotExist","getRegionGuidNotExist","Негативный тест Получение Region по Гуид, несуществующий Гуид"
"passed","Wed Nov 22 13:40:06 GMT 2023","Wed Nov 22 13:40:07 GMT 2023","965","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedGuidNotExist","getOkvedGuidNotExist","Негативный тест Получение Okved по Гуид, несуществующий Гуид"
"passed","Wed Nov 22 13:39:41 GMT 2023","Wed Nov 22 13:39:42 GMT 2023","1001","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdGuidNotExist","getOkpdGuidNotExist","Негативный тест Получение ОКПД2 по Гуид, несуществующий Гуид"
"passed","Wed Nov 22 13:36:55 GMT 2023","Wed Nov 22 13:36:56 GMT 2023","1003","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchNegative","getNomenclatureSearchNegative","Негативные тесты"
"passed","Wed Nov 22 13:40:32 GMT 2023","Wed Nov 22 13:40:33 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedListStepMaxPlus","getOkvedListStepMaxPlus","Негативный тест Получение массива OKVED"
"passed","Wed Nov 22 13:42:01 GMT 2023","Wed Nov 22 13:42:02 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopGuidNegativeData","getEopGuidNegativeData","Негативный тест Получение единого ограничительного перечня по Гуид"
"failed","Wed Nov 22 13:41:07 GMT 2023","Wed Nov 22 13:41:08 GMT 2023","996","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getRegionListStepMaxPlus","getRegionListStepMaxPlus","Негативный тест Получение массива Region"
"passed","Wed Nov 22 13:36:05 GMT 2023","Wed Nov 22 13:36:06 GMT 2023","998","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureGuidDataProvider","getNomenclatureGuidDataProvider","Получение нономенклатуры по Гуид, негативные тесты"
"passed","Wed Nov 22 13:39:46 GMT 2023","Wed Nov 22 13:39:47 GMT 2023","1153","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdList","getOkpdList","Получение списка ОКПД из 200 объектов"
"passed","Wed Nov 22 13:42:12 GMT 2023","Wed Nov 22 13:42:13 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListNegativeStep","getEopListNegativeStep","Негативный тест Получение массива Единый ограничительный перечень"
"passed","Wed Nov 22 13:42:13 GMT 2023","Wed Nov 22 13:42:14 GMT 2023","995","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListNegativeStep","getEopListNegativeStep","Негативный тест Получение массива Единый ограничительный перечень"
"passed","Wed Nov 22 13:44:50 GMT 2023","Wed Nov 22 13:44:51 GMT 2023","987","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getPing","getPing","Проверка доступа и авторизации"
"failed","Wed Nov 22 13:40:52 GMT 2023","Wed Nov 22 13:40:53 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getRegionGuidNotExist","getRegionGuidNotExist","Негативный тест Получение Region по Гуид, несуществующий Гуид"
"passed","Wed Nov 22 13:36:53 GMT 2023","Wed Nov 22 13:36:54 GMT 2023","997","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchNegative","getNomenclatureSearchNegative","Негативные тесты"
"failed","Wed Nov 22 13:40:45 GMT 2023","Wed Nov 22 13:40:46 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getRegionGuidNotExist","getRegionGuidNotExist","Негативный тест Получение Region по Гуид, несуществующий Гуид"
"failed","Wed Nov 22 13:36:18 GMT 2023","Wed Nov 22 13:36:19 GMT 2023","1129","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchBodyIsEmpty","getNomenclatureSearchBodyIsEmpty","Поиск номенклатуры, получение пустого тела, неверный параметр запроса {data}"
"passed","Wed Nov 22 13:44:24 GMT 2023","Wed Nov 22 13:44:25 GMT 2023","952","Surefire suite","Surefire test","AutoTest.AuxiliaryTest","AutoTest.AuxiliaryTest","getListOfChangesNegative","getListOfChangesNegative","Невалидные значения Степ Проверка списка изменений"
"passed","Wed Nov 22 13:41:32 GMT 2023","Wed Nov 22 13:41:34 GMT 2023","1929","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getTnvedList","getTnvedList","Получение списка ТНВEД"
"passed","Wed Nov 22 13:43:59 GMT 2023","Wed Nov 22 13:44:00 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getUnitsListNegativeStep","getUnitsListNegativeStep","Негативный тест Получение массива всех Единиц измерения"
