"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 14:40:26 GMT 2023","Fri Nov 03 14:40:27 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:30 GMT 2023","Fri Nov 03 14:40:31 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"failed","Fri Nov 03 14:40:19 GMT 2023","Fri Nov 03 14:40:22 GMT 2023","2968","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuid","getChangeRequestGuid","Получение заявки по Гуид на изменение Type = 5 , валидация по схеме Json"
"passed","Fri Nov 03 14:40:27 GMT 2023","Fri Nov 03 14:40:28 GMT 2023","993","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:24 GMT 2023","Fri Nov 03 14:40:25 GMT 2023","994","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:28 GMT 2023","Fri Nov 03 14:40:29 GMT 2023","998","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:31 GMT 2023","Fri Nov 03 14:40:32 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:23 GMT 2023","Fri Nov 03 14:40:24 GMT 2023","987","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"failed","Fri Nov 03 14:40:32 GMT 2023","Fri Nov 03 14:40:33 GMT 2023","1009","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getTestChangeRequestGuid5","getTestChangeRequestGuid5","Получение заявки по Гуид на изменение Type = 5 , валидация по схеме Json"
"passed","Fri Nov 03 14:40:25 GMT 2023","Fri Nov 03 14:40:26 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:29 GMT 2023","Fri Nov 03 14:40:30 GMT 2023","995","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Fri Nov 03 14:40:22 GMT 2023","Fri Nov 03 14:40:23 GMT 2023","926","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
