"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 11:11:49 GMT 2023","Tue Dec 26 11:11:50 GMT 2023","1046","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedList","getOkvedList","Получение списка OKVED2"
"failed","Tue Dec 26 11:10:34 GMT 2023","Tue Dec 26 11:10:35 GMT 2023","991","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfGuidNotExist","getOkopfGuidNotExist","Негативный тест Получение OKOPF по Гуид, несуществующий Гуид"
"failed","Tue Dec 26 11:19:24 GMT 2023","Tue Dec 26 11:19:25 GMT 2023","999","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getDdsVidList","getDdsVidList","Получение списка dds-vid"
"passed","Tue Dec 26 11:17:40 GMT 2023","Tue Dec 26 11:17:41 GMT 2023","755","Surefire suite","Surefire test","AutoTest.NomenclatureTest","AutoTest.NomenclatureTest","getNomenclatureSearchBodyIsEmpty","getNomenclatureSearchBodyIsEmpty","Поиск номенклатуры, получение пустого тела, неверный параметр запроса {data}"
"passed","Tue Dec 26 11:11:23 GMT 2023","Tue Dec 26 11:11:24 GMT 2023","996","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdListStepMaxPlus","getOkpdListStepMaxPlus","Негативный тест Получение массива ОКПД"
"passed","Tue Dec 26 11:13:52 GMT 2023","Tue Dec 26 11:13:53 GMT 2023","995","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListNegativeStep","getEopListNegativeStep","Негативный тест Получение массива Единый ограничительный перечень"
"passed","Tue Dec 26 11:11:15 GMT 2023","Tue Dec 26 11:11:18 GMT 2023","2236","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdList","getOkpdList","Получение списка ОКПД из 200 объектов"
"failed","Tue Dec 26 11:10:30 GMT 2023","Tue Dec 26 11:10:31 GMT 2023","1002","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkopfGuidNotExist","getOkopfGuidNotExist","Негативный тест Получение OKOPF по Гуид, несуществующий Гуид"
"passed","Tue Dec 26 11:11:56 GMT 2023","Tue Dec 26 11:11:58 GMT 2023","2121","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkvedList","getOkvedList","Получение списка OKVED2"
"failed","Tue Dec 26 11:21:07 GMT 2023","Tue Dec 26 11:21:08 GMT 2023","1013","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getPlanSchetovGuidNotExist","getPlanSchetovGuidNotExist","Негативный тест Получение PlanSchetov по Гуид, несуществующий Гуид"
"failed","Tue Dec 26 11:10:11 GMT 2023","Tue Dec 26 11:10:12 GMT 2023","1019","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getCurrencyListStepMaxPlus","getCurrencyListStepMaxPlus","Негативный тест Получение массива Currency"
"passed","Tue Dec 26 11:15:30 GMT 2023","Tue Dec 26 11:15:31 GMT 2023","1003","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"passed","Tue Dec 26 11:11:12 GMT 2023","Tue Dec 26 11:11:13 GMT 2023","796","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getOkpdList","getOkpdList","Получение списка ОКПД из 200 объектов"
"passed","Tue Dec 26 11:13:35 GMT 2023","Tue Dec 26 11:13:36 GMT 2023","997","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopGuidNegativeData","getEopGuidNegativeData","Негативный тест Получение единого ограничительного перечня по Гуид"
"passed","Tue Dec 26 11:24:52 GMT 2023","Tue Dec 26 11:24:53 GMT 2023","930","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getPartnerGuidNotExist","getPartnerGuidNotExist","Негативный тест Получение Partner по Гуид, несуществующий Гуид"
"passed","Tue Dec 26 11:13:59 GMT 2023","Tue Dec 26 11:14:00 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.ClassifierTest","AutoTest.ClassifierTest","getEopListNegativeStep","getEopListNegativeStep","Негативный тест Получение массива Единый ограничительный перечень"
"passed","Tue Dec 26 11:15:25 GMT 2023","Tue Dec 26 11:15:26 GMT 2023","999","Surefire suite","Surefire test","AutoTest.ApplicationTest","AutoTest.ApplicationTest","getChangeRequestGuidNegative","getChangeRequestGuidNegative","Негативные тесты Получение изменеий по заявке по Гуид "
"failed","Tue Dec 26 11:19:13 GMT 2023","Tue Dec 26 11:19:14 GMT 2023","1013","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getDdsVidGuidNotExist","getDdsVidGuidNotExist","Негативный тест Получение dds-vid по Гуид, несуществующий Гуид"
"failed","Tue Dec 26 11:23:36 GMT 2023","Tue Dec 26 11:23:37 GMT 2023","1011","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactMaxPlus","getContactMaxPlus","Негативный тест Получение массива Contact"
"failed","Tue Dec 26 11:19:55 GMT 2023","Tue Dec 26 11:19:56 GMT 2023","999","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getExpensesArticlesGuidNotExist","getExpensesArticlesGuidNotExist","Негативный тест Получение expenses-articles по Гуид, несуществующий Гуид"
"failed","Tue Dec 26 11:23:30 GMT 2023","Tue Dec 26 11:23:31 GMT 2023","992","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getContactMaxPlus","getContactMaxPlus","Негативный тест Получение массива Contact"
"passed","Tue Dec 26 11:13:06 GMT 2023","Tue Dec 26 11:13:08 GMT 2023","2387","Surefire suite","Surefire test","AutoTest.ClassifireIsAllRussianTest","AutoTest.ClassifireIsAllRussianTest","getTnvedList","getTnvedList","Получение списка ТНВEД"
"failed","Tue Dec 26 11:21:19 GMT 2023","Tue Dec 26 11:21:20 GMT 2023","997","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getPlanSchetovListStepMaxPlus","getPlanSchetovListStepMaxPlus","Негативный тест PlanSchetov"
"failed","Tue Dec 26 11:18:48 GMT 2023","Tue Dec 26 11:18:49 GMT 2023","1000","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getDdsArticlesGuidNotExist","getDdsArticlesGuidNotExist","Негативный тест Получение dds-articles по Гуид, несуществующий Гуид"
"failed","Tue Dec 26 11:22:56 GMT 2023","Tue Dec 26 11:22:57 GMT 2023","998","Surefire suite","Surefire test","AutoTest.PartnerTest","AutoTest.PartnerTest","getBankAccountTypeMaxPlus","getBankAccountTypeMaxPlus","Негативный тест, получение массива Bank Account Type"
"failed","Tue Dec 26 11:21:28 GMT 2023","Tue Dec 26 11:21:29 GMT 2023","998","Surefire suite","Surefire test","AutoTest.FinanceTest","AutoTest.FinanceTest","getPlanSchetovListStepMaxPlus","getPlanSchetovListStepMaxPlus","Негативный тест PlanSchetov"
