"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Общероссийские классификаторы","Получение ОКВЕД2","","1","0","32","0","0"
"Общероссийские классификаторы","Получение OKOPF","","12","0","0","0","0"
"Финансовый блок","Получение dds-vid","","19","0","0","0","0"
"Номенклатура","Поиск номенклатуры","","2","0","55","0","0"
"Общероссийские классификаторы","Получение ОКПД2","","0","0","33","0","0"
"Классификаторы","Единый ограничительный перечень","","0","0","33","0","0"
"Финансовый блок","Получение PlanSchetov","","33","0","0","0","0"
"Общероссийские классификаторы","Получение Currency","","33","0","0","0","0"
"Заявка","Работа с заявками","","1","0","11","0","0"
"Контрагенты","Получение Partner","","8","0","25","0","0"
"Контрагенты","Получение Contact","","33","0","0","0","0"
"Финансовый блок","Получение expenses-articles","","44","0","0","0","0"
"Общероссийские классификаторы","Получение ТНВЕД","","1","0","32","0","0"
"Финансовый блок","Получение dds-articles","","47","0","0","0","0"
"Контрагенты","Получение Bank Account Type","","33","0","0","0","0"
"Классификаторы","Единый Классификатор","","0","0","34","0","0"
"Контрагенты","Получение partnerConcernType","","33","0","0","0","0"
"Общероссийские классификаторы","Получение ОКOPF","","15","0","0","0","0"
"Общероссийские классификаторы","Получение Country","","33","0","0","0","0"
"Общероссийские классификаторы","Получение Bank","","33","0","0","0","0"
"Классификаторы","Единицы измерения","","2","0","30","0","0"
"Оргструктура","Получение Organization","","34","0","0","0","0"
"","Вспомогательные","","3","1","50","0","0"
"Оргструктура","Получение Sfo","","33","0","0","0","0"
"Финансовый блок","Получение Subconto","","33","0","0","0","0"
"Контрагенты","Получение Contact-roles","","33","0","0","0","0"
"Оргструктура","Получение Divisions","","33","0","0","0","0"
"Контрагенты","Получение Bank Account","","33","0","0","0","0"
"Финансовый блок","Получение other-income-expenses","","22","0","0","0","0"
"Общероссийские классификаторы","Получение Region","","33","0","0","0","0"
"Номенклатура","Получение номенклатуры по Гуид","","0","0","12","0","0"
"Общероссийские классификаторы","Получение ОKOPF","","6","0","0","0","0"
